region,latitude,longitude,temperature,wind_speed,humidity,rainfall_7day,vegetation_index,outbreak
Sindh,27.1895,70.2938,41.46,20.37,30.59,4.01,0.572,0
KPK,32.924,71.4469,34.45,30.92,39.93,13.3,0.653,0
KPK,31.4178,69.0956,28.65,36.18,16.94,8.86,0.174,0
Balochistan,27.2714,63.488,28.67,13.53,17.9,8.39,0.625,0
Sindh,25.7844,68.0789,34.44,23.93,33.77,17.55,0.22,0
Sindh,25.7334,68.877,25.49,38.08,33.78,12.39,0.753,0
Punjab,32.1524,71.0313,33.62,36.35,15.56,12.7,0.393,1
Balochistan,31.1439,66.386,33.98,36.0,16.21,17.87,0.717,0
Balochistan,29.2139,67.6889,43.07,34.52,25.95,8.34,0.654,0
Sindh,27.103,68.0228,35.66,5.47,23.16,16.19,0.111,0
KPK,31.3349,73.3868,33.57,23.96,43.82,1.66,0.554,0
KPK,33.5668,73.9461,30.09,37.99,9.58,11.16,0.149,0
Punjab,28.4123,71.8479,35.21,30.3,32.3,17.72,0.106,0
KPK,35.2116,70.8662,38.9,8.34,11.84,1.22,0.507,0
KPK,34.9098,72.7587,42.67,23.13,13.19,16.78,0.534,0
Sindh,26.3124,67.7348,33.6,10.55,17.55,15.14,0.403,0
KPK,33.894,72.162,28.44,21.59,34.51,6.77,0.242,0
Punjab,31.5986,74.3076,44.11,30.35,35.59,13.95,0.509,0
Sindh,27.1092,69.2976,42.52,14.52,33.62,6.6,0.757,0
Balochistan,29.1723,67.6073,35.19,14.75,32.22,20.59,0.144,0
Sindh,26.8901,69.8043,29.13,8.09,33.86,9.21,0.403,1
Sindh,24.32,68.0762,44.55,33.85,31.31,21.45,0.649,0
KPK,35.4406,70.6265,44.82,39.87,38.54,21.12,0.274,0
Punjab,33.8036,74.1333,44.87,37.67,37.65,16.86,0.104,0
Sindh,23.2018,68.056,27.86,5.78,21.34,19.59,0.496,0
Punjab,29.8732,70.0787,25.38,37.08,34.13,7.72,0.193,0
KPK,33.817,72.1231,44.02,25.54,29.5,24.77,0.63,0
KPK,31.6922,71.8942,37.53,35.39,22.03,9.29,0.533,1
Balochistan,31.9738,68.8489,39.29,33.15,34.46,14.83,0.137,0
KPK,32.8122,73.3182,27.42,37.38,31.37,1.36,0.551,0
KPK,32.3764,69.781,38.99,25.98,14.64,17.63,0.419,0
Balochistan,31.6925,61.4848,40.08,5.87,14.34,11.34,0.418,0
KPK,33.6797,71.4425,33.84,10.38,29.19,6.93,0.745,0
Punjab,28.5695,72.9704,40.46,7.33,16.54,22.89,0.531,0
KPK,34.2952,70.0562,43.99,36.01,15.28,18.44,0.301,0
Sindh,24.0028,67.0811,40.21,26.11,30.9,23.52,0.643,0
Punjab,28.4021,74.8767,42.97,34.84,42.7,2.13,0.37,0
Punjab,29.0087,72.3748,26.21,37.98,10.77,10.96,0.471,0
Balochistan,31.8066,64.5179,31.12,32.94,20.07,7.48,0.263,0
Sindh,24.828,67.7685,31.65,39.14,14.29,22.46,0.644,0
Punjab,28.9296,70.4137,35.66,15.58,28.85,20.1,0.196,0
Punjab,29.8217,71.5584,25.07,11.1,40.39,11.04,0.789,0
Sindh,23.2849,68.093,35.09,30.38,29.25,16.68,0.644,0
Sindh,23.2248,66.6318,37.38,31.78,42.8,0.4,0.466,0
Balochistan,28.9554,64.8654,43.44,17.65,39.81,10.17,0.33,0
Balochistan,29.0831,68.2264,44.58,33.62,26.88,18.41,0.459,0
KPK,32.1491,71.7633,33.19,28.16,13.23,14.27,0.23,0
Punjab,30.9446,72.0328,44.87,26.13,29.33,13.97,0.36,0
Punjab,32.7864,71.837,26.91,24.49,39.27,19.9,0.223,0
Balochistan,27.5159,65.1606,36.48,25.61,35.81,15.59,0.52,0
Punjab,32.5016,70.7602,35.08,17.29,11.47,12.15,0.745,1
KPK,34.0497,73.6226,42.29,25.65,8.24,19.31,0.592,0
KPK,33.1499,71.9846,46.99,31.93,22.72,20.69,0.219,1
Balochistan,26.2727,66.1728,29.99,28.45,25.33,19.34,0.186,0
KPK,33.7558,71.1909,43.46,10.62,8.92,11.23,0.266,1
Balochistan,30.6403,68.3197,29.16,37.28,33.74,15.27,0.24,0
Sindh,23.6274,69.8639,30.21,28.71,28.93,23.23,0.371,0
Balochistan,30.4966,64.4489,26.93,14.9,23.49,7.31,0.333,0
Punjab,33.5992,71.3275,38.45,28.75,19.75,21.2,0.763,0
Punjab,30.1025,74.5647,32.47,20.95,33.09,13.58,0.343,0
Sindh,24.5594,67.6999,26.74,20.5,17.66,8.58,0.684,0
Punjab,33.634,72.2641,29.37,10.77,16.88,17.75,0.291,0
Balochistan,28.6803,65.0121,30.43,21.48,32.49,18.78,0.628,0
Sindh,24.4713,66.574,45.71,32.45,25.11,21.62,0.275,0
Sindh,27.4229,70.4778,45.0,15.99,33.57,6.79,0.233,0
KPK,34.019,73.3157,43.09,11.07,25.98,2.92,0.578,0
KPK,33.9804,71.1692,28.62,9.08,28.23,22.56,0.341,0
Punjab,31.4885,70.5293,44.21,23.31,33.89,10.27,0.492,0
Punjab,32.9593,74.0049,27.3,25.19,25.17,2.97,0.786,0
Balochistan,31.3742,67.268,40.39,26.59,39.95,5.58,0.711,0
Punjab,29.7781,74.6916,43.01,39.42,17.61,24.24,0.402,0
Sindh,23.5785,66.1363,36.52,12.64,44.61,14.36,0.197,0
KPK,35.1178,73.1035,35.5,17.28,21.41,20.14,0.33,0
Balochistan,31.0075,63.8667,45.08,24.8,14.76,3.49,0.504,1
Balochistan,28.7547,63.4263,45.52,9.15,42.55,17.1,0.472,1
Balochistan,27.8708,62.9982,39.39,26.67,20.29,23.2,0.691,0
Punjab,28.6982,73.064,45.65,28.16,10.84,8.87,0.485,1
Punjab,28.2807,71.5983,34.64,36.47,43.6,11.1,0.625,0
Punjab,31.949,70.3505,33.7,11.36,13.8,20.68,0.129,0
Punjab,31.1097,73.5506,27.11,16.12,43.84,6.56,0.319,0
Sindh,27.6715,70.5821,38.98,27.04,22.92,18.81,0.472,0
Balochistan,28.3894,64.5512,44.66,28.03,8.3,23.58,0.266,0
Balochistan,31.4904,63.0094,43.57,21.94,27.02,7.71,0.501,0
Sindh,25.797,70.1424,40.68,29.38,20.0,5.85,0.248,1
Punjab,32.8326,74.7338,33.8,32.42,17.84,24.76,0.118,0
Sindh,25.2983,68.1549,31.7,11.93,10.43,22.18,0.394,0
Sindh,25.086,66.8011,28.76,19.64,36.02,22.45,0.159,0
Sindh,27.0248,66.262,28.51,16.75,10.84,5.87,0.681,0
Sindh,23.6773,67.1574,44.11,37.43,23.53,1.27,0.128,1
KPK,35.2898,72.6558,45.83,32.36,19.61,6.2,0.588,1
Punjab,33.8428,72.721,31.06,29.83,18.05,22.61,0.362,0
Punjab,28.5592,72.0525,28.59,12.76,19.75,6.48,0.161,0
Punjab,30.7004,71.6873,44.16,7.92,15.81,18.81,0.136,0
Balochistan,30.3652,64.8751,40.26,24.35,16.0,5.21,0.307,1
Balochistan,26.8955,63.1454,32.94,19.3,33.15,1.42,0.124,0
Sindh,27.0143,67.2326,46.47,17.07,20.48,7.8,0.185,0
KPK,32.2027,72.3619,43.17,28.56,38.5,9.92,0.209,0
Balochistan,26.4921,61.2795,46.77,6.05,24.45,12.62,0.182,0
Sindh,26.2971,68.889,44.05,15.13,25.3,15.48,0.388,0
Punjab,31.9922,72.5036,39.19,5.82,23.9,6.97,0.19,0
Sindh,23.081,70.0919,25.88,36.15,44.7,7.35,0.247,0
KPK,34.0123,71.5582,26.34,15.07,11.45,24.1,0.195,0
Sindh,25.9712,69.0158,40.02,25.14,23.88,6.9,0.638,1
Punjab,33.6584,71.6191,39.55,27.83,17.29,16.26,0.249,0
KPK,31.225,72.6708,32.51,21.75,42.37,8.3,0.426,1
Punjab,32.8405,74.2101,35.62,32.21,32.9,18.11,0.445,0
Balochistan,31.7918,61.4033,44.59,25.19,28.87,12.51,0.149,0
KPK,31.6374,73.001,43.99,10.27,39.51,24.79,0.609,0
Balochistan,31.4016,67.3375,39.88,28.79,43.0,7.4,0.101,0
Sindh,27.6214,67.6291,27.81,20.48,9.57,17.12,0.732,0
Balochistan,28.0564,62.0766,27.08,34.1,41.98,16.24,0.172,0
Punjab,29.7295,71.4939,44.61,5.48,19.94,13.86,0.204,0
Punjab,33.1069,74.7882,37.45,23.01,11.15,13.72,0.366,0
Punjab,29.3544,71.9495,35.56,9.83,11.0,20.74,0.784,0
KPK,35.3681,73.9778,37.82,33.44,20.1,7.64,0.382,1
KPK,33.9615,72.4733,33.02,30.85,32.66,2.99,0.501,0
Sindh,27.3643,68.4998,41.07,26.67,14.91,0.64,0.299,1
Balochistan,30.7791,62.8603,29.97,24.29,27.37,7.06,0.309,0
Balochistan,26.5162,61.4562,27.32,25.5,28.14,5.84,0.546,0
KPK,33.6161,70.3589,33.78,25.95,32.16,3.85,0.784,0
Punjab,32.3813,71.8241,39.1,21.32,15.03,17.54,0.49,0
Balochistan,29.1783,66.8591,45.33,39.13,38.83,7.58,0.777,0
Punjab,32.5375,72.2709,34.07,37.72,17.28,3.01,0.509,0
KPK,35.0788,71.3336,26.69,10.81,10.26,12.48,0.174,0
Punjab,30.4042,70.5757,44.43,19.52,22.33,16.49,0.409,0
KPK,33.2769,71.0748,41.07,9.74,15.31,4.51,0.284,0
KPK,33.0073,70.6904,27.79,18.71,14.02,18.36,0.246,0
Balochistan,26.2518,63.9092,27.17,9.08,17.41,7.39,0.471,0
Punjab,33.4481,71.9816,31.52,10.02,13.6,10.82,0.517,0
Punjab,29.9147,72.3496,36.05,12.03,19.66,19.79,0.741,0
KPK,32.3853,73.7044,27.74,35.63,43.92,4.43,0.605,1
KPK,33.3476,71.1133,46.9,5.37,41.12,3.73,0.65,0
Sindh,27.9126,66.4307,42.92,14.81,12.89,11.0,0.551,0
KPK,31.6355,69.9464,35.11,31.32,41.5,20.88,0.238,0
Sindh,25.94,67.7655,42.6,24.41,38.56,15.79,0.649,0
Sindh,24.237,70.3315,28.62,19.53,8.53,11.96,0.115,0
Balochistan,29.6262,67.1095,36.51,12.94,32.66,2.0,0.409,0
Sindh,26.7115,67.2208,38.16,18.48,39.63,23.81,0.718,0
KPK,31.7266,71.5285,26.36,7.49,29.23,14.15,0.715,0
Balochistan,26.6812,68.3403,42.11,33.78,41.4,13.12,0.416,0
Punjab,33.053,71.4831,26.7,10.95,12.7,3.08,0.463,0
Balochistan,26.3546,66.5258,41.03,6.64,42.34,2.28,0.3,0
Sindh,26.3522,69.2091,34.04,22.14,23.37,0.6,0.335,0
KPK,31.2071,73.839,37.1,38.71,12.25,12.26,0.219,0
KPK,34.9876,72.3877,37.03,21.63,42.13,1.82,0.296,0
Sindh,27.2188,67.6246,40.12,38.66,35.02,12.25,0.542,0
KPK,31.9045,72.9958,32.35,30.58,23.54,14.46,0.683,0
Balochistan,27.0874,68.6576,44.58,27.83,25.01,16.89,0.533,0
KPK,31.6761,72.3773,33.71,9.66,13.87,23.73,0.716,0
Balochistan,28.4545,63.835,31.66,30.58,33.93,14.73,0.757,0
Sindh,23.8073,68.3587,37.18,24.96,15.77,18.56,0.118,0
KPK,31.2166,72.4967,32.27,31.07,23.26,4.89,0.459,0
Balochistan,26.7991,63.0907,34.22,25.98,27.01,7.2,0.105,0
Balochistan,27.4555,61.7305,32.01,8.66,12.76,14.35,0.143,1
Punjab,31.3032,72.0368,36.47,36.38,15.26,0.56,0.703,1
Balochistan,27.8965,66.0157,42.78,26.41,18.94,6.39,0.329,1
Punjab,29.1919,71.2343,31.74,24.43,29.76,10.66,0.531,0
Sindh,26.6154,69.8634,40.73,25.26,8.54,9.01,0.523,1
Punjab,32.0133,73.9933,45.52,5.7,13.69,22.15,0.421,0
KPK,35.4296,73.0804,25.42,30.76,15.71,3.32,0.547,0
Punjab,33.3843,71.281,29.85,9.83,39.79,12.5,0.572,0
Punjab,28.2417,72.5611,39.97,37.61,30.95,20.09,0.159,0
KPK,34.9095,72.8293,40.22,38.8,22.56,3.27,0.57,1
Sindh,26.1601,69.6306,33.07,10.15,15.64,7.83,0.545,0
Punjab,29.615,70.9932,42.23,36.82,21.7,18.78,0.728,0
Balochistan,29.9463,66.1325,25.56,32.58,41.42,6.69,0.669,0
Punjab,32.853,74.3774,31.65,35.05,39.72,19.12,0.203,0
Sindh,27.2666,67.6408,26.18,28.43,16.56,6.09,0.314,0
Sindh,27.3071,66.6865,45.95,16.51,32.51,18.8,0.668,0
Punjab,32.6993,74.0162,46.7,25.92,11.03,16.17,0.537,0
Balochistan,26.3218,66.7397,35.46,34.72,22.19,4.21,0.686,1
KPK,33.009,71.8891,31.77,21.7,37.34,24.53,0.753,0
Sindh,27.1943,69.3551,40.33,17.7,40.53,18.13,0.179,0
KPK,32.6305,69.3546,32.7,35.19,16.62,17.38,0.541,0
KPK,34.8775,70.9656,28.06,5.38,28.14,24.39,0.358,0
Balochistan,27.0296,62.3397,35.18,6.16,12.51,10.4,0.144,0
KPK,31.3668,72.3157,38.1,19.53,23.62,19.63,0.237,0
KPK,34.3677,69.6868,31.09,6.61,42.44,16.52,0.622,0
Balochistan,28.6116,68.3655,32.59,6.92,15.56,10.47,0.254,1
Punjab,31.0779,71.407,43.09,31.35,35.12,21.9,0.606,0
Balochistan,26.7148,65.0991,32.67,18.12,30.99,17.97,0.177,1
KPK,31.5401,70.1632,41.51,14.61,31.11,2.03,0.417,0
Sindh,26.3779,68.5445,43.95,35.31,8.37,19.45,0.423,0
Punjab,29.9243,72.8121,31.15,32.39,40.8,9.97,0.704,0
KPK,32.7279,69.0349,33.88,13.22,38.3,8.43,0.679,1
Balochistan,31.7084,62.0962,36.83,11.47,23.84,1.54,0.257,0
Balochistan,31.2554,68.2424,35.85,16.56,11.95,23.84,0.142,0
Balochistan,27.8878,66.3921,43.57,37.05,34.56,7.09,0.328,1
KPK,31.9506,73.1063,36.98,7.72,43.35,6.17,0.702,0
Balochistan,28.8971,62.6983,27.54,34.27,26.59,0.36,0.662,0
Balochistan,27.7051,63.3117,33.3,18.77,28.15,4.0,0.584,0
Balochistan,28.6832,67.6386,39.4,19.39,32.54,2.96,0.381,0
KPK,33.0676,69.1991,31.03,38.45,43.28,8.81,0.13,0
Punjab,28.6949,73.5298,36.08,34.02,26.8,15.51,0.434,0
Sindh,26.1383,66.9601,28.21,37.83,41.95,22.19,0.538,0
Sindh,27.1016,68.8093,39.77,37.42,30.91,20.62,0.582,0
Punjab,28.7936,70.9834,30.22,15.5,31.78,15.02,0.587,0
Sindh,26.5633,66.9658,35.37,21.54,21.99,12.93,0.389,0
Punjab,28.1521,73.4502,31.95,6.95,30.56,6.02,0.371,0
Punjab,29.2423,72.7199,30.1,34.71,22.7,6.14,0.669,0
Balochistan,26.9702,68.7267,29.53,30.95,28.23,22.11,0.488,0
KPK,34.6443,70.5073,38.19,12.04,40.94,2.87,0.103,0
Punjab,31.5846,74.4045,26.09,14.0,25.21,5.67,0.621,0
Balochistan,30.1485,63.094,38.73,34.03,15.04,22.93,0.487,0
Punjab,32.8708,71.7092,34.54,34.7,21.44,19.85,0.759,0
KPK,33.723,69.2053,41.39,20.61,8.74,1.56,0.371,1
Sindh,24.7849,69.1737,29.1,31.23,28.19,5.1,0.304,0
Balochistan,28.2829,61.849,36.69,18.85,30.69,20.14,0.31,0
Balochistan,30.2437,63.0174,34.83,9.32,15.62,0.02,0.127,0
Sindh,24.6683,67.9385,28.04,30.84,39.71,23.47,0.445,0
Punjab,33.8525,72.8678,32.52,27.7,10.53,22.43,0.184,0
Sindh,26.0707,67.6291,29.22,24.44,29.61,5.17,0.696,0
Sindh,27.2377,66.9091,34.47,10.79,34.14,13.38,0.545,0
Balochistan,29.1085,66.9841,43.4,29.65,42.36,18.47,0.314,0
KPK,35.6508,71.6379,30.7,6.85,34.87,3.03,0.312,0
Punjab,28.3439,70.8729,40.56,29.91,41.24,14.57,0.187,0
KPK,33.9586,69.9601,39.67,26.82,30.29,12.24,0.47,0
Balochistan,30.3681,67.5052,30.66,32.1,22.27,12.67,0.699,0
KPK,33.7909,70.735,45.52,37.29,26.59,8.2,0.616,1
Punjab,29.896,74.2611,25.9,6.74,31.07,1.58,0.327,0
Balochistan,29.1081,65.9135,30.21,21.92,23.88,1.87,0.174,0
Punjab,28.6854,71.2768,43.22,18.23,44.3,11.66,0.654,0
Punjab,33.005,70.5899,25.99,20.33,39.23,6.56,0.395,1
Sindh,27.304,67.731,39.38,17.26,30.84,22.12,0.262,0
Balochistan,31.7976,68.7606,44.03,26.03,33.93,7.13,0.542,0
Sindh,24.0073,67.326,28.73,8.35,23.51,2.83,0.22,0
KPK,33.732,70.2487,32.55,34.82,28.69,12.87,0.17,1
Punjab,31.197,74.3033,40.29,5.37,22.58,21.27,0.342,1
KPK,34.8317,71.0321,44.36,27.7,41.27,15.59,0.192,0
KPK,33.3816,72.3488,33.85,15.43,31.14,3.87,0.361,0
Punjab,31.6997,70.2017,32.18,21.4,13.47,24.62,0.246,0
Punjab,30.0512,74.929,43.45,33.3,19.76,0.22,0.367,1
Balochistan,26.5202,65.3069,45.09,18.58,38.69,3.34,0.755,0
KPK,33.4406,73.0653,27.18,20.0,31.25,5.38,0.539,0
Sindh,24.024,69.99,41.25,7.23,22.33,7.07,0.313,0
KPK,31.235,70.6941,33.91,13.37,31.27,16.01,0.695,0
KPK,32.0939,70.6311,41.64,18.78,30.5,11.11,0.62,0
Punjab,29.3823,71.4462,33.13,28.23,12.37,23.85,0.706,0
KPK,31.7587,71.989,39.62,19.68,33.94,10.27,0.453,1
Punjab,28.7864,73.987,36.17,31.26,19.5,12.86,0.7,0
KPK,33.9104,72.989,44.02,20.99,25.58,9.65,0.777,0
KPK,35.3182,73.984,34.39,8.89,9.13,18.17,0.712,0
KPK,33.7884,69.2731,46.38,22.94,18.76,11.74,0.701,0
KPK,31.8784,71.5659,40.74,39.06,15.45,0.24,0.153,1
KPK,32.7151,73.9406,35.68,11.27,40.97,11.51,0.597,0
Sindh,25.6078,66.6232,46.15,27.26,36.34,1.98,0.133,1
KPK,33.3386,72.0295,34.42,5.95,36.99,0.26,0.633,0
Balochistan,30.752,68.8935,30.52,22.84,41.63,19.63,0.441,0
Punjab,33.7724,72.5448,34.96,14.75,43.48,3.57,0.506,0
Balochistan,30.9419,66.672,37.93,33.72,22.51,11.19,0.611,0
Balochistan,27.5528,63.5317,26.91,15.61,43.76,23.62,0.334,0
Sindh,26.9709,69.1261,45.63,28.79,29.1,15.25,0.76,0
Sindh,24.2882,68.2497,40.24,30.66,44.83,7.19,0.477,0
Punjab,28.5819,70.2785,27.84,7.02,39.27,1.48,0.29,0
Balochistan,29.091,68.9223,38.45,17.98,36.57,4.26,0.369,0
Punjab,29.4379,70.1619,32.39,22.99,37.48,8.45,0.594,0
Balochistan,29.027,63.0868,25.2,27.69,26.91,11.14,0.777,0
KPK,34.2717,73.3626,30.37,20.75,42.26,16.5,0.372,0
Sindh,24.9724,70.3353,30.37,38.84,43.45,6.19,0.344,0
Punjab,29.9379,74.4451,28.53,11.06,17.87,2.99,0.261,0
Sindh,24.9314,67.7674,31.94,22.19,19.87,4.81,0.317,0
KPK,34.8968,71.6125,39.1,32.52,22.99,0.07,0.695,1
Sindh,26.3844,66.3205,38.12,30.89,15.81,21.04,0.121,0
KPK,32.5483,73.6891,39.9,9.17,10.55,12.09,0.254,0
KPK,31.6282,70.4486,30.25,12.47,23.21,17.6,0.252,0
Punjab,33.1974,74.3579,34.2,20.55,19.22,17.92,0.351,0
Balochistan,30.6664,67.8666,43.59,17.59,33.43,7.82,0.143,0
Balochistan,30.6663,62.8067,28.87,35.32,24.43,3.43,0.704,0
Punjab,32.3621,73.4646,46.72,12.88,32.51,15.24,0.741,0
Punjab,30.5873,72.8465,25.05,14.12,27.18,18.06,0.222,0
Punjab,31.1125,70.2558,30.12,22.22,19.48,4.54,0.453,0
KPK,33.2309,71.7699,31.56,20.93,14.05,7.6,0.535,0
Punjab,32.6066,70.5698,39.17,34.2,29.36,16.16,0.421,0
Sindh,27.1187,66.4263,44.06,22.47,18.97,6.63,0.402,1
Sindh,23.8168,66.5216,28.2,35.7,27.54,11.68,0.175,0
Balochistan,26.7745,66.9384,39.15,16.05,31.0,5.5,0.411,0
Sindh,24.9253,70.7149,38.43,34.22,34.28,2.81,0.615,0
Balochistan,27.0236,64.4941,35.21,32.62,30.31,16.36,0.799,0
Balochistan,31.0183,68.7955,46.46,7.28,38.41,16.16,0.553,0
Sindh,24.2755,69.8394,41.54,25.59,15.87,2.43,0.145,1
KPK,31.2755,71.1345,35.32,37.5,31.72,7.79,0.468,0
KPK,35.5694,73.9052,39.56,33.59,35.73,17.49,0.315,0
Balochistan,26.7515,66.2441,25.88,25.92,40.18,22.27,0.414,0
Balochistan,31.2161,66.8946,36.02,25.05,13.08,23.44,0.346,0
Sindh,23.9625,66.5094,45.04,33.72,36.12,1.22,0.691,0
Balochistan,29.1623,65.6603,40.04,31.36,34.92,21.74,0.233,0
Sindh,25.939,70.2017,25.38,6.72,29.19,20.49,0.329,0
Sindh,27.9739,70.8328,34.7,14.11,39.02,17.89,0.581,0
KPK,32.7624,69.6306,27.86,28.67,39.77,24.07,0.54,0
KPK,32.6429,72.0113,32.09,32.19,10.62,16.51,0.666,0
Punjab,33.1051,71.4307,39.09,16.0,43.44,0.84,0.506,0
KPK,34.8729,70.0886,38.67,6.68,25.89,0.37,0.745,0
Punjab,33.4707,70.7331,39.21,13.15,13.8,17.09,0.516,0
Sindh,27.5582,70.6401,28.64,5.08,44.41,22.65,0.139,0
Sindh,27.5764,67.3284,44.71,8.62,32.29,22.67,0.218,0
KPK,34.4199,69.9511,36.46,21.42,10.63,20.46,0.335,0
Punjab,30.5377,73.9779,28.11,9.56,31.81,4.93,0.168,0
Punjab,29.4211,70.8247,27.74,17.81,16.49,5.46,0.138,1
Balochistan,26.234,64.6445,44.6,24.93,38.8,24.79,0.215,0
KPK,33.3351,72.4283,29.98,9.61,40.82,6.88,0.257,0
KPK,32.9142,72.1532,34.46,20.32,19.48,19.05,0.755,0
Balochistan,31.717,62.9147,38.73,21.59,40.4,6.79,0.103,0
Balochistan,27.5429,66.7551,25.62,18.14,31.19,3.65,0.676,0
KPK,35.899,73.3428,28.83,6.62,29.45,22.82,0.224,1
Balochistan,27.2686,63.1214,39.58,38.79,41.89,12.57,0.657,0
Sindh,24.7215,66.3088,41.16,23.26,15.89,19.54,0.243,0
Balochistan,28.0534,68.8511,38.85,19.57,14.16,24.65,0.675,0
Balochistan,26.8617,66.2636,41.0,32.53,17.02,7.65,0.438,1
KPK,34.6594,69.8698,32.95,27.31,10.62,9.04,0.474,0
KPK,34.1746,73.2947,32.58,18.66,40.97,20.34,0.6,0
KPK,33.0869,69.7216,27.06,5.58,40.32,5.91,0.248,0
Punjab,31.7319,74.4099,46.1,11.73,34.54,16.61,0.34,1
Sindh,23.0431,66.0999,37.91,20.94,27.17,0.19,0.396,0
Sindh,27.3899,67.3459,46.61,18.4,14.58,8.79,0.408,1
Balochistan,28.4938,63.0664,44.07,28.42,24.58,12.2,0.243,0
Punjab,32.2125,72.5369,34.71,9.57,18.77,21.72,0.733,1
KPK,33.9312,71.4618,29.23,21.24,17.1,22.87,0.335,0
Sindh,27.6745,69.1854,44.77,20.98,13.53,23.25,0.421,0
Sindh,24.1024,66.8228,33.94,37.43,34.29,10.47,0.462,0
Punjab,33.131,71.7938,38.88,30.02,23.9,7.66,0.774,1
Balochistan,30.3054,67.2146,39.82,26.51,41.02,1.97,0.332,0
Punjab,29.3242,72.6665,46.91,33.02,39.29,15.88,0.129,0
Balochistan,26.1179,68.0351,46.24,16.95,20.52,0.18,0.576,0
KPK,35.9013,72.2506,41.32,6.1,12.5,15.83,0.729,0
Balochistan,30.8656,64.2029,45.84,19.23,36.56,12.1,0.728,0
Punjab,30.0488,71.078,42.9,12.6,28.06,24.21,0.203,0
Balochistan,26.2992,62.1993,36.83,25.15,31.87,0.42,0.772,1
Sindh,24.2889,69.5068,25.32,6.73,30.18,8.54,0.767,0
Punjab,30.9938,70.3611,40.06,22.61,36.31,12.13,0.205,0
Sindh,27.2997,67.0652,38.37,7.93,31.79,19.06,0.509,0
Balochistan,30.8222,67.5426,46.54,22.57,24.83,18.84,0.193,0
Punjab,32.8901,71.3034,31.53,5.02,43.63,22.94,0.635,0
Punjab,28.7734,73.6,27.23,26.81,21.17,19.72,0.264,0
KPK,32.6003,72.8158,42.65,18.48,23.46,1.11,0.302,1
KPK,34.5017,72.7943,27.33,22.71,38.14,23.4,0.459,0
KPK,33.6463,71.922,42.53,16.93,37.8,8.47,0.139,0
Balochistan,27.9998,64.9354,37.6,13.34,37.38,12.16,0.334,0
KPK,34.8658,69.5313,42.13,10.97,24.55,5.26,0.583,0
Punjab,31.3103,71.7828,34.84,38.79,21.96,6.46,0.27,0
Punjab,32.3861,70.3831,39.61,13.31,26.1,7.15,0.606,0
Balochistan,30.452,61.4182,43.76,11.94,40.35,8.81,0.606,0
Sindh,24.409,67.3376,36.42,13.2,12.57,3.09,0.508,0
Sindh,27.6164,68.7241,30.93,29.58,32.38,24.73,0.286,0
Sindh,24.0104,66.5504,33.43,34.3,40.02,15.07,0.609,0
Sindh,24.4234,67.8799,41.64,23.89,10.87,0.45,0.172,1
KPK,31.5601,73.2473,36.72,21.5,44.3,18.51,0.183,0
KPK,33.5613,71.4369,38.75,38.12,29.45,13.51,0.135,0
Punjab,32.0798,71.0144,41.4,39.85,32.63,12.34,0.746,1
Sindh,24.8615,67.2733,35.76,19.26,44.5,1.4,0.2,0
Sindh,24.3967,67.847,28.51,35.99,8.37,22.06,0.5,0
Sindh,25.9675,67.0506,27.56,38.95,8.81,20.07,0.652,0
KPK,32.2842,69.4626,27.22,11.97,44.99,0.05,0.547,0
KPK,35.211,70.0465,26.6,29.61,22.89,23.0,0.555,0
Balochistan,31.56,64.8695,31.94,32.61,33.23,22.22,0.585,0
Punjab,32.637,74.0159,28.38,17.83,21.81,3.79,0.659,0
Punjab,32.8562,71.8964,26.04,11.18,43.37,1.76,0.348,0
KPK,35.5567,71.7705,28.84,18.25,39.2,16.11,0.556,0
Sindh,26.3292,67.0776,29.86,30.52,26.51,10.38,0.218,0
Balochistan,30.3207,61.6891,35.2,11.09,20.49,0.45,0.38,0
Sindh,27.588,69.3656,46.8,35.9,25.5,12.99,0.233,0
Punjab,31.0053,74.9071,27.14,15.61,31.61,8.75,0.75,0
Balochistan,31.0132,68.6929,42.05,26.77,30.45,21.24,0.479,0
Punjab,32.5731,73.568,29.57,24.91,40.11,10.8,0.777,0
Punjab,32.4676,74.8222,40.79,39.74,33.84,7.34,0.57,0
KPK,32.5576,72.9146,34.74,21.98,36.78,9.56,0.41,0
Punjab,30.1772,73.0055,43.67,36.1,25.9,18.21,0.322,0
Balochistan,30.3412,65.6175,39.25,6.03,30.87,12.74,0.482,0
KPK,33.2117,72.3434,31.94,28.89,40.25,5.94,0.785,0
Punjab,31.0522,71.2156,41.38,10.89,15.03,11.52,0.3,0
Balochistan,30.0321,66.0834,42.73,33.88,40.12,10.35,0.589,0
Punjab,28.0441,72.591,25.83,24.92,42.07,24.21,0.478,0
Balochistan,27.8672,62.6725,43.67,36.71,28.04,15.74,0.28,0
Sindh,23.8214,68.5186,43.26,28.24,20.52,23.39,0.739,0
Balochistan,30.3086,65.6516,45.85,6.88,11.93,4.34,0.583,0
Sindh,25.2981,69.1425,37.26,30.99,18.35,14.12,0.162,0
Sindh,26.1688,66.7025,34.74,24.65,39.41,11.09,0.743,0
Punjab,33.2946,71.0176,44.21,7.09,40.88,8.23,0.32,0
Balochistan,30.4886,62.6662,29.51,11.63,12.65,7.78,0.72,0
Sindh,26.8097,68.5256,46.74,21.28,10.15,6.56,0.405,1
